test_file,cohort,flag,precision@3,precision@5,precision@10,average_precision
liver_12.nii.gz,Lung,cancer_flag,1.0,1.0,1.0,0.9715463187702267
liver_125.nii.gz,Lung,cancer_flag,0.3333333333333333,0.2,0.1,0.9715463187702267
liver_65.nii.gz,Lung,cancer_flag,1.0,0.8,0.8,0.9715463187702267
liver_73.nii.gz,Lung,cancer_flag,1.0,1.0,1.0,0.9715463187702267
pancreas_120.nii.gz,Lung,cancer_flag,1.0,1.0,1.0,0.9715463187702267
pancreas_212.nii.gz,Lung,cancer_flag,1.0,1.0,1.0,0.9715463187702267
pancreas_217.nii.gz,Lung,cancer_flag,1.0,1.0,1.0,0.9715463187702267
pancreas_218.nii.gz,Lung,cancer_flag,1.0,1.0,1.0,0.9715463187702267
pancreas_246.nii.gz,Lung,cancer_flag,1.0,1.0,1.0,0.9715463187702267
pancreas_265.nii.gz,Lung,cancer_flag,1.0,1.0,1.0,0.9715463187702267
pancreas_303.nii.gz,Lung,cancer_flag,1.0,1.0,1.0,0.9715463187702267
pancreas_304.nii.gz,Lung,cancer_flag,1.0,1.0,1.0,0.9715463187702267
pancreas_318.nii.gz,Lung,cancer_flag,1.0,1.0,1.0,0.9715463187702267
pancreas_345.nii.gz,Lung,cancer_flag,1.0,1.0,1.0,0.9715463187702267
pancreas_346.nii.gz,Lung,cancer_flag,1.0,1.0,1.0,0.9715463187702267
pancreas_347.nii.gz,Lung,cancer_flag,1.0,1.0,1.0,0.9715463187702267
lung_001.nii.gz,Lung,cancer_flag,1.0,1.0,1.0,0.9715463187702267
lung_037.nii.gz,Lung,cancer_flag,1.0,1.0,1.0,0.9715463187702267
lung_059.nii.gz,Lung,cancer_flag,1.0,1.0,1.0,0.9715463187702267
lung_061.nii.gz,Lung,cancer_flag,1.0,1.0,1.0,0.9715463187702267
lung_070.nii.gz,Lung,cancer_flag,1.0,1.0,1.0,0.9715463187702267
lung_079.nii.gz,Lung,cancer_flag,1.0,1.0,1.0,0.9715463187702267
lung_080.nii.gz,Lung,cancer_flag,1.0,1.0,1.0,0.9715463187702267
lung_020.nii.gz,Lung,cancer_flag,1.0,1.0,1.0,0.9715463187702267
lung_031.nii.gz,Lung,cancer_flag,1.0,1.0,1.0,0.9715463187702267
lung_041.nii.gz,Lung,cancer_flag,1.0,1.0,1.0,0.9715463187702267
lung_051.nii.gz,Lung,cancer_flag,1.0,1.0,1.0,0.9715463187702267
lung_064.nii.gz,Lung,cancer_flag,1.0,1.0,1.0,0.9715463187702267
lung_074.nii.gz,Lung,cancer_flag,1.0,1.0,1.0,0.9715463187702267
lung_086.nii.gz,Lung,cancer_flag,1.0,1.0,1.0,0.9715463187702267
lung_036.nii.gz,Lung,cancer_flag,1.0,1.0,1.0,0.9715463187702267
lung_075.nii.gz,Lung,cancer_flag,1.0,1.0,1.0,0.9715463187702267
