test_file,cohort,flag,precision@3,precision@5,precision@10,average_precision
liver_73.nii.gz,Pancreas,lesion_group,0.3333333333333333,0.2,0.2,0.5672185724431817
lung_070.nii.gz,Pancreas,lesion_group,1.0,1.0,1.0,0.5672185724431817
lung_061.nii.gz,Pancreas,lesion_group,1.0,1.0,1.0,0.5672185724431817
lung_029.nii.gz,Pancreas,lesion_group,1.0,1.0,1.0,0.5672185724431817
pancreas_345.nii.gz,Pancreas,lesion_group,0.0,0.0,0.0,0.5672185724431817
pancreas_304.nii.gz,Pancreas,lesion_group,0.0,0.0,0.1,0.5672185724431817
pancreas_165.nii.gz,Pancreas,lesion_group,0.0,0.0,0.0,0.5672185724431817
pancreas_102.nii.gz,Pancreas,lesion_group,1.0,1.0,0.8,0.5672185724431817
pancreas_191.nii.gz,Pancreas,lesion_group,1.0,1.0,0.9,0.5672185724431817
pancreas_261.nii.gz,Pancreas,lesion_group,1.0,0.8,0.7,0.5672185724431817
pancreas_021.nii.gz,Pancreas,lesion_group,0.3333333333333333,0.6,0.8,0.5672185724431817
pancreas_098.nii.gz,Pancreas,lesion_group,0.6666666666666666,0.8,0.7,0.5672185724431817
pancreas_279.nii.gz,Pancreas,lesion_group,0.3333333333333333,0.2,0.4,0.5672185724431817
pancreas_005.nii.gz,Pancreas,lesion_group,0.6666666666666666,0.6,0.8,0.5672185724431817
pancreas_045.nii.gz,Pancreas,lesion_group,1.0,1.0,0.8,0.5672185724431817
pancreas_204.nii.gz,Pancreas,lesion_group,1.0,0.8,0.7,0.5672185724431817
pancreas_214.nii.gz,Pancreas,lesion_group,1.0,1.0,0.9,0.5672185724431817
pancreas_292.nii.gz,Pancreas,lesion_group,0.6666666666666666,0.4,0.6,0.5672185724431817
pancreas_198.nii.gz,Pancreas,lesion_group,1.0,1.0,0.7,0.5672185724431817
pancreas_056.nii.gz,Pancreas,lesion_group,1.0,0.8,0.8,0.5672185724431817
pancreas_125.nii.gz,Pancreas,lesion_group,0.6666666666666666,0.6,0.7,0.5672185724431817
pancreas_339.nii.gz,Pancreas,lesion_group,1.0,1.0,0.7,0.5672185724431817
pancreas_392.nii.gz,Pancreas,lesion_group,0.6666666666666666,0.6,0.6,0.5672185724431817
pancreas_095.nii.gz,Pancreas,lesion_group,0.3333333333333333,0.6,0.7,0.5672185724431817
pancreas_298.nii.gz,Pancreas,lesion_group,1.0,1.0,1.0,0.5672185724431817
pancreas_331.nii.gz,Pancreas,lesion_group,0.6666666666666666,0.4,0.6,0.5672185724431817
pancreas_372.nii.gz,Pancreas,lesion_group,0.0,0.0,0.0,0.5672185724431817
pancreas_411.nii.gz,Pancreas,lesion_group,0.3333333333333333,0.4,0.2,0.5672185724431817
pancreas_311.nii.gz,Pancreas,lesion_group,0.0,0.0,0.1,0.5672185724431817
pancreas_096.nii.gz,Pancreas,lesion_group,0.0,0.2,0.1,0.5672185724431817
pancreas_042.nii.gz,Pancreas,lesion_group,0.0,0.0,0.0,0.5672185724431817
pancreas_287.nii.gz,Pancreas,lesion_group,0.0,0.0,0.0,0.5672185724431817
